wid,time,text,uid,username,following,followed,gender
4521939799048363,Wed Jul 01 18:05:24 +0800 2020,今天下的雨，就是我为鹅厂流下的心疼的眼泪,6575359769,桃汁涧雾,651,215,f
4521937936302751,Wed Jul 01 17:58:00 +0800 2020,"鹅不哭！<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>抱抱",2670390733,汪叽不解酒,1366,1122,f
4521941959283917,Wed Jul 01 18:13:59 +0800 2020,"傻白鹅的人设是立住了<span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-dd1c6d36cf.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-dd1c6d36cf.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-dd1c6d36cf.png"" 
                style=""width:1em; height:1em;"" /></span>",5251834206,仙女本喵喵,933,158,f
4521938880455723,Wed Jul 01 18:01:44 +0800 2020,"你这个憨憨//<a href='/n/腾讯公司'>@腾讯公司</a>: 其实，但是，一言难尽……为了防止类似事件再次发生，欢迎广大网友踊跃提供类似线索，通过评论或私信留言。我们自掏腰包，准备好一千瓶老干妈作为奖励，里面还包含限量版的孤品哦！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23&extparam=%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23"" data-hide=""""><span class=""surl-text"">#腾讯千瓶老干妈求骗子线索#</span></a>",1044254764,腾讯张军,560,79771,m
4521937965007292,Wed Jul 01 17:58:07 +0800 2020,"傻鹅 憨憨<span class=""url-icon""><img alt=[笑哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiaohaha-1bfd4648b7.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiaohaha-1bfd4648b7.png"" 
                style=""width:1em; height:1em;"" /></span>",3863398423,心愿您安好,247,55,f
4521937868876699,Wed Jul 01 17:57:44 +0800 2020,哈哈哈哈可可爱爱,5263746585,故事细腻DAYTOY,323,106,m
4521938268100575,Wed Jul 01 17:59:18 +0800 2020,心疼你胖鹅，你个铁憨憨，下次长点儿心吧,3231470625,小赞我和世界爱着你,294,14,f
4521937983130682,Wed Jul 01 17:58:11 +0800 2020,鹅，笑话你的有老干妈，支付宝，百度，新浪……,2908878743,一只会双综滑雪的大胖鹅,618,18626,f
4521941275259850,Wed Jul 01 18:11:16 +0800 2020,笑死我了哈哈哈,6252208174,呆鸡哥哥,400,88,m
4521942471049745,Wed Jul 01 18:16:01 +0800 2020,"鹅：你欠我广告费 老干妈：可我没投广告啊？ 鹅：现在有了<span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" 
                style=""width:1em; height:1em;"" /></span>",5826103513,凡民nice,173,101,m
4521938242208105,Wed Jul 01 17:59:12 +0800 2020,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,6474377124,我的M键已经饥渴难耐,72,870,f
4521939642722143,Wed Jul 01 18:04:46 +0800 2020,2020最出圈营销案例，赶紧记笔记,6366838484,一口芝士加奶盖,531,513,m
4521977543607797,Wed Jul 01 20:35:23 +0800 2020,"鹅臣救驾来迟！<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",2508053484,腾讯QQ,203,330759,m
4521951543112298,Wed Jul 01 18:52:03 +0800 2020,鹅鹅鹅鹅鹅鹅我小汤加码两箱泡面，重金求线索,2035892554,汤达人Club,525,1350591,m
4521951022167521,Wed Jul 01 18:49:59 +0800 2020,今天是腾讯被骗的日子，只要把这个消息发给两个群，就能让大家开心一下，我已经试过了，10秒钟就能获得几百个“哈哈哈哈哈哈哈”，不相信也要试试，反正没坏处 。,7113151183,土味大赏,575,34164,f
4521945313537019,Wed Jul 01 18:27:19 +0800 2020,李国庆：我说公章有用他们不信，还吃我的瓜 腾讯：我现在信了,1774858020,年情就要醒着拼,122,117,m
4521939660740814,Wed Jul 01 18:04:51 +0800 2020,鹅厂这是被骗子“仙人跳”了？？？太难了太难了,5669696746,熙颜儿24,860,806,f
4521953657123226,Wed Jul 01 19:00:28 +0800 2020,"腾讯有难，八方点赞，腾讯被骗，笑声一片<span class=""url-icon""><img alt=[吃瓜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" 
                style=""width:1em; height:1em;"" /></span>",1783050015,无聊ing的少年,151,179,m
4521948803045649,Wed Jul 01 18:41:11 +0800 2020,"为什么要在傻白甜鹅的伤口上狂撒老干妈<span class=""url-icon""><img alt=[笑而不语] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" 
                style=""width:1em; height:1em;"" /></span>",2095858834,兔撕鸡大老爷,577,491234,m
4521937994555835,Wed Jul 01 17:58:14 +0800 2020,原博下的评论哈哈哈哈,5949448031,杨姑娘的王小键,200,98,m
4521952645151628,Wed Jul 01 18:56:27 +0800 2020,"防盗防骗，任重道远<span class=""url-icon""><img alt=[摊手] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-3abaa4ed77.png"" 
                style=""width:1em; height:1em;"" /></span> //<a href='/n/腾讯公司'>@腾讯公司</a>: 其实，但是，一言难尽……为了防止类似事件再次发生，欢迎广大网友踊跃提供类似线索，通过评论或私信留言。我们自掏腰包，准备好一千瓶老干妈作为奖励，里面还包含限量版的孤品哦！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23&extparam=%23%E8%85%BE%E8%AE%AF%E5%8D%83%E7%93%B6%E8%80%81%E5%B9%B2%E5%A6%88%E6%B1%82%E9%AA%97%E5%AD%90%E7%BA%BF%E7%B4%A2%23"" data-hide=""""><span class=""surl-text"">#腾讯千瓶老干妈求骗子线索#</span></a>",6160862917,腾讯游戏安全中心,274,439695,f
4521948946307993,Wed Jul 01 18:41:44 +0800 2020,"才1000瓶？我小学五年级的表弟可没少往游戏里充钱<span class=""url-icon""><img alt=[微笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-039d0a6a8a.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[微笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-039d0a6a8a.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[微笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-039d0a6a8a.png"" 
                style=""width:1em; height:1em;"" /></span>",3316505585,大不列颠一级抬杠运动员,119,171,m
4521957004250294,Wed Jul 01 19:13:46 +0800 2020,"走，我出两辆车帮你……拉老干妈去<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",6003664959,威马汽车,274,422214,m
4521946169098245,Wed Jul 01 18:30:42 +0800 2020,"建议用1000股腾讯股票，更实惠些<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" 
                style=""width:1em; height:1em;"" /></span>",1772293130,21世纪商业评论,796,1234646,m
4521949529946682,Wed Jul 01 18:44:04 +0800 2020,"腾讯居然有被白嫖的一天<span class=""url-icon""><img alt=[污] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_wu-12f8564d2b.png"" 
                style=""width:1em; height:1em;"" /></span>",6472434523,修改昵称20190111,69,20,m
