,episodes,name,contentId,content,showTime,likeCount
0,第七集,未知用户,1592492578549001100,你我本无缘，全靠三块钱,1,57
1,第七集,朱永平,1592927921791003688,这鞋不像43码的,1,0
2,第七集,未知用户,1592561647401002811,花了我十八块钱,1,24
3,第七集,朱朝阳,1592926761923009013,爸，借我30万,1,1
4,第七集,未知用户,1593109024056003381,音乐一响人间白来,1,0
5,第七集,严良,1592969867918001182,长大后我就成了你,1,0
6,第七集,未知用户,1592753009229006358,花钱了，都硬气点,2,29
7,第七集,普普,1593012613259003264,我唱小白船就得有人死,2,6
8,第七集,未知用户,1592913372920008656,今天有点准时啊,2,8
9,第七集,张东升 ,1592753182792008937,这部剧太上头了！！！,2,2
10,第七集,未知用户,1592814658049004159,有钱人的快落,2,2
11,第七集,未知用户,1592708539853007869,心疼一下这三块先,2,14
12,第七集,未知用户,1592579667300000502,钞票让我们相遇,3,25
13,第七集,张东升 ,1593070855427001873,苏醒了，猎杀时刻,3,2
14,第七集,未知用户,1592514007210006465,有钱人的相遇来之不易,3,23
15,第七集,张东升 ,1593105176950003889,富贵使我们相遇,3,0
16,第七集,未知用户,1593099293346004588,这时长真任性,3,0
17,第七集,朱朝阳,1593105631554003812,东升叔，帮我杀一下王瑶,3,0
18,第七集,未知用户,1592492537720000068,花钱来的，等不了了,4,32
19,第七集,朱朝阳,1592891074097004145,控制不住手又花了钱&#128176;,4,3
20,第七集,未知用户,1592540913586006671,等不得了，花钱看,4,6
21,第七集,未知用户,1593098170614008801,杨溢在干嘛,4,0
22,第七集,未知用户,1592913504766000309,喜欢你的不准时！！,4,1
23,第七集,未知用户,1592922695161009334,杜比音效呢,4,0
24,第七集,未知用户,1592488778534003815,富贵是我们相遇,5,25
25,第七集,张东升 ,1592531539639007616,大家都是星钻贵族说话放肆一点,5,2
26,第七集,未知用户,1592669987384008322,我充钱了想不到吧,5,11
27,第七集,未知用户,1593074921062006218,蔡欣奕记得吃饭,5,0
28,第七集,未知用户,1593087375869007712,花钱了总要留下什么,5,0
29,第七集,未知用户,1592928139434004604,杨静如你在干嘛,5,0
30,第七集,未知用户,1592541671561000283,买了买了真香,6,9
31,第七集,张东升 ,1593052420009008323,徐静便当热好了,6,0
32,第七集,未知用户,1592574297225008120,花钱的来亮个相,6,5
33,第七集,朱朝阳,1593061927722009383,吓死宝宝了,6,0
34,第七集,未知用户,1593073561221008356,在座的都是V,6,0
35,第七集,张东升 ,1592752242882003157,星钻，就是嚣张,6,0
36,第七集,未知用户,1592487965350009288,留下花了钱的轨迹,7,17
37,第七集,张东升 ,1592640150969000730,高贵的星钻来了,7,3
38,第七集,未知用户,1592668025255008043,第一部花钱的剧,7,15
39,第七集,张东升 ,1592901673270009274,都是充了钱来的说话硬气点,7,1
40,第七集,未知用户,1592573794303000565,各位有钱人好啊,7,5
41,第七集,未知用户,1592650324902006309,在座的都是有钱人,7,3
42,第七集,未知用户,1592642128835002510,花点钱怎么了怎么了,8,7
43,第七集,张东升 ,1592902476996004223,心疼12块钱,8,3
44,第七集,未知用户,1593119775007002816,王谣又多活了一集我淦,8,0
45,第七集,未知用户,1592844780519008774,都她妈是你有钱人,8,0
46,第七集,未知用户,1593058048183003949,你我本无缘,8,0
47,第七集,未知用户,1593077488452007713,信不信带你去爬山,8,0
48,第七集,未知用户,1592486491696003521,这部剧花钱值,9,15
49,第七集,张东升 ,1593064852906006534,花了一块钱开了一个月,9,0
50,第七集,未知用户,1592577527935008187,我们都是有钱人,9,11
51,第七集,张东升 ,1593001949285003056,记得按时吃药,9,0
52,第七集,未知用户,1593067849151005015,柔柔弱弱男司机,9,0
53,第七集,张东升 ,1592541859935002018,花钱了我必须说一句话,9,1
54,第七集,未知用户,1592499591111008416,笑死了哈哈哈哈哈有钱人,10,11
55,第七集,普普,1592913131864008288,就是这么不准时&#129305;,10,4
56,第七集,未知用户,1592723220988007207,有钱人的聚会来了,10,14
57,第七集,张东升 ,1592706737501004808,充钱来的都嚣张点,10,8
58,第七集,未知用户,1593074681502004422,为了这个剧充钱了,10,0
59,第七集,普普,1592853375307004400,反思一下为什么在这里相遇,10,1
60,第七集,未知用户,1593080111979009843,提前看的都是有钱人,11,0
61,第七集,朱朝阳,1592547488093005587,花钱了就冒个泡吧,11,5
62,第七集,未知用户,1592983124196009178,故事开始变得有趣了,11,1
63,第七集,严良,1592792657146007163,花了4块钱,11,0
64,第七集,未知用户,1592919804364004914,今晚又可以看两集,11,3
65,第七集,朱朝阳,1592829613992009683,12.5七天了解一下,11,0
66,第七集,未知用户,1592659936131000768,第一次这么干脆的买,12,11
67,第七集,朱朝阳,1592490992380001943,毕竟花钱了,12,5
68,第七集,未知用户,1592900002629005840,就是这么硬气,12,2
69,第七集,未知用户,1592884683993004564,跟有钱人在一起,12,0
70,第七集,未知用户,1592723376549009806,真的是忍不住,12,2
71,第七集,未知用户,1593014339618000684,不花钱真香,12,0
72,第七集,未知用户,1593062879957002796,有钱人的派对哈哈,13,1
73,第七集,张东升 ,1593096730365006697,牛仔裤的夏天,13,0
74,第七集,未知用户,1592631971945009483,突然发现我好有钱哟,13,7
75,第七集,朱朝阳,1592545407306009261,大家都是有钱人哈，都是有钱人。,13,2
76,第七集,未知用户,1593096829159007788,等更新才有感觉,13,0
77,第七集,未知用户,1593098223471007871,哪几集有彩蛋求告知,13,0
78,第七集,未知用户,1592754896117004272,来了，有钱人的世界,14,3
79,第七集,张东升 ,1592745397062005797,花钱了亮个相,14,2
80,第七集,未知用户,1593098602886000414,我花了15真香！,14,0
81,第七集,张东升 ,1592808275246004761,我还有机会吗？,14,0
82,第七集,未知用户,1593095894983000068,坚决不花钱哈哈,14,0
83,第七集,张东升 ,1592918756499007863,好戏开始了,14,0
84,第七集,未知用户,1592648906846004598,有钱人的微笑,15,17
85,第七集,叶军,1592491717396005488,3元一集一集留下点线索吧,15,2
86,第七集,未知用户,1592823769819008974,各位有钱人好,15,1
87,第七集,张东升 ,1593003262671006065,来了各位,15,0
88,第七集,未知用户,1593110630662004667,小白船被彻底黑了,15,0
89,第七集,张东升 ,1592657326884003465,来自富贵人士的骄傲留言,15,0
90,第七集,未知用户,1592486267541003758,我对自己太好了,16,13
91,第七集,陈冠声,1593075679035009787,富贵让我们相遇,16,0
92,第七集,未知用户,1592743918697002824,看样子有钱的不少啊,16,4
93,第七集,朱朝阳,1592959979709006267,都是弟弟,16,0
94,第七集,未知用户,1592630976765003694,有钱人太多了,16,2
95,第七集,张东升 ,1592952319084006226,星钻使我们相遇,16,0
96,第七集,未知用户,1592492392411000062,哈哈我居然也买了,17,14
97,第七集,朱朝阳,1592664999563002024,三块钱呜呜呜,17,5
98,第七集,未知用户,1592918106389004266,有钱人你们好,17,2
99,第七集,张东升 ,1592900861537008572,有钱人的相遇来之不易,17,0
100,第七集,未知用户,1593131879247007368,秦昊的演技太好了,17,0
101,第七集,张东升 ,1592671318381003490,花钱的举手,17,0
102,第七集,未知用户,1592749116101005873,买买买这么好的剧,18,11
103,第七集,普普,1592629351454006379,花了钱要留下印记,18,7
104,第七集,未知用户,1593081465706003030,小白船一放必带一血,18,1
105,第七集,张东升 ,1592809403766007290,掏钱说话就是硬气,18,0
106,第七集,未知用户,1592913528074009917,就喜欢你不准时,18,0
107,第七集,张东升 ,1592892521553000487,都是大佬,18,0
108,第七集,未知用户,1593070794283001236,支持支持国产好剧,19,2
109,第七集,普普,1593047194325007192,小白船。。预备唱～,19,0
110,第七集,未知用户,1592505635408001861,在做都是有钱大佬,19,13
111,第七集,朱朝阳,1592904478509001374,本就不富裕的家庭雪上加霜,19,1
112,第七集,未知用户,1592530185188004457,好剧必须花钱支持,19,6
113,第七集,张东升 ,1592930082807002555,走啊爬山去啊！走啊游泳去啊！,19,0
114,第七集,未知用户,1593003950917002075,还好昨天没花钱,20,6
115,第七集,朱朝阳,1592812606115008133,炫富，燥起来,20,2
116,第七集,未知用户,1592669561095004548,有钱使我们相遇在这,20,6
117,第七集,未知用户,1592627772508005798,我竟然花钱了,20,13
118,第七集,未知用户,1593062558431000732,阎网你来当老师了,20,0
119,第七集,未知用户,1593008441770002851,大家都是有钱人,20,0
120,第七集,未知用户,1592913564413000059,我就没花钱哈哈哈哈,21,14
121,第七集,朱朝阳,1592496458164008083,全刷完停不下来,21,6
122,第七集,未知用户,1593058813827008005,有钱人千里来相见,21,1
123,第七集,张东升 ,1593093112103009569,花钱就比较爽吗&#128517;,21,0
124,第七集,未知用户,1593083870555004455,富婆大佬们好~,21,0
125,第七集,张东升 ,1592974827606007279,我还是相信童话，但你背叛了我,21,1
126,第七集,未知用户,1592542806606005712,有钱人集合走一波,22,18
127,第七集,陈冠声,1592930693864005608,这钱我花了！,22,1
128,第七集,未知用户,1592913700472000312,每一秒都好珍贵,22,4
129,第七集,普普,1592907502684006355,十八元让我们在这里相遇，你好有缘人,22,0
130,第七集,未知用户,1592486306829002249,我还是向桃妥协了,22,13
131,第七集,未知用户,1592748397440002896,有钱人的感觉真好,22,1
132,第七集,未知用户,1592666474281001587,忍了好久还是买了,23,18
133,第七集,张东升 ,1592719976567005601,好剧真的值～,23,10
134,第七集,未知用户,1593064742317006472,我怎么没花钱,23,1
135,第七集,张东升 ,1593075377605009491,给你机会你不中用啊,23,0
136,第七集,未知用户,1593096844297009440,在座的各位都是有钱人,23,0
137,第七集,张东升 ,1593097190794000579,故意的吧,23,0
138,第七集,未知用户,1592709014700009822,有钱人留下名字,24,8
139,第七集,张东升 ,1592625429307005909,我来带你爬山,24,6
140,第七集,未知用户,1592824841140003651,有钱人露个头,24,3
141,第七集,张东升 ,1593134588723006397,爬山了，爬山了,24,0
