,episodes,name,contentId,content,showTime,likeCount
0,第九集,未知用户,1592653208489001466,大东哥也不容易,1,6
1,第九集,张东升 ,1593089948717008428,这小子我保了,1,0
2,第九集,未知用户,1592930743394001181,花了钱的大胆一点,1,3
3,第九集,朱朝阳,1593008805992002712,爸，王立来不了了,1,0
4,第九集,未知用户,1593073498713006825,张叔叔突然多了三个孩子,1,0
5,第九集,朱朝阳,1593104182702009436,用不着了，张老师带他爬山去了,1,0
6,第九集,未知用户,1592632223566000552,三元复三元三元何其多,2,16
7,第九集,普普,1593132783346000081,小白船&#128674;搞起,2,0
8,第九集,未知用户,1592999655706003857,忍住了没花钱，等到了,2,9
9,第九集,未知用户,1593090590717004300,咋一下更新完了,2,3
10,第九集,未知用户,1592559982645007689,三元三元又三元,2,18
11,第九集,未知用户,1593124118565005196,不会把钱拿走了吧？,2,0
12,第九集,未知用户,1593065989950002407,来咯哦哟具体,3,1
13,第九集,张东升 ,1593004329684005299,没花钱真香。。。。。,3,10
14,第九集,未知用户,1592633900675009701,这时长丧良心,3,22
15,第九集,严良,1592924330419007745,精神小伙,3,0
16,第九集,未知用户,1592738987539001680,有钱千里来相聚,3,3
17,第九集,未知用户,1593066241458005138,太精彩了,3,0
18,第九集,未知用户,1593008688174005868,时长那么随意的吗,4,4
19,第九集,张东升 ,1593066642404007656,谁都走不了,4,1
20,第九集,未知用户,1592828396787008794,我一集一集买.才不会太贵,4,8
21,第九集,未知用户,1592978675196007825,花钱来的。硬气点,4,2
22,第九集,未知用户,1593002288337009548,我没给钱怎么可以看呀,4,0
23,第九集,未知用户,1593015253414007578,时长感人,4,0
24,第九集,未知用户,1592922425986009866,花了钱就是不一样,5,4
25,第九集,严良,1592995855215006228,花了三块钱就是硬气,5,0
26,第九集,未知用户,1592725537990000776,有钱人就是这么多,5,1
27,第九集,未知用户,1593127905304000641,我有钱了,5,0
28,第九集,未知用户,1593074974550007181,蔡欣奕喜欢我,5,0
29,第九集,未知用户,1592981439566000898,一瓶水的钱，看他不香吗,5,0
30,第九集,未知用户,1593046310832009892,任性的时长,6,3
31,第九集,张东升 ,1593057640177001897,这些章节名字都很平凡，但真不简单,6,0
32,第九集,未知用户,1592990823530004590,有钱就是任性,6,2
33,第九集,未知用户,1592759258005009814,这剧真的绝了太棒了,6,1
34,第九集,未知用户,1592997534237003077,提前更新了,6,2
35,第九集,未知用户,1592575042218002410,好家伙，又3块,6,9
36,第九集,未知用户,1593008809209005585,没有花钱，美滋滋,7,8
37,第九集,陈冠声,1593078927003008077,我到底会不会死,7,0
38,第九集,未知用户,1592933281802001863,来到了有钱人的世界,7,5
39,第九集,未知用户,1592922428612009878,哎呀花钱了纪念一下,7,3
40,第九集,未知用户,1593085480166003311,时长是个谜,7,0
41,第九集,未知用户,1593095158950004102,这几集的时长都很水啊,7,0
42,第九集,未知用户,1593068449989005052,时长越来越不让人高兴,8,3
43,第九集,朱朝阳,1593083662830003253,看标题船是烧不了了&#128522;,8,0
44,第九集,未知用户,1592998765853000097,有钱千里来相会啊,8,3
45,第九集,张东升 ,1593013314098007388,忍住了忍住了来了来了,8,0
46,第九集,未知用户,1592925477112002947,在座的有钱人,8,3
47,第九集,张东升 ,1592971658646008787,充了钱开头就舍不得跳过了,8,0
48,第九集,未知用户,1593008046189002076,怎么变成30多分钟了,9,2
49,第九集,严良,1593083998431007237,又是三十多分钟啊，好少啊,9,0
50,第九集,未知用户,1593109718610002677,都是有钱人呐,9,0
51,第九集,张东升 ,1592729460631009981,这个时长？？,9,0
52,第九集,未知用户,1593093705823003485,时长怎么回事,9,0
53,第九集,未知用户,1593083624218003563,每一集的长度这么随意啊,9,0
54,第九集,未知用户,1592959623917005598,花了钱就是舒服,10,3
55,第九集,朱朝阳,1592987066328001966,哈喽，北鼻,10,1
56,第九集,未知用户,1593001481087000530,都那么有钱吗？,10,1
57,第九集,未知用户,1593007760834007956,这个带眼镜的挺好,10,0
58,第九集,未知用户,1593134925256000635,王家班前来报到,10,0
59,第九集,未知用户,1593095271203005001,没忍住花四块买了个周卡,10,0
60,第九集,未知用户,1592986281369003408,中国有钱人还是多,11,2
61,第九集,戴高乐-,1592947252585003851,都是有钱人说话硬气点,11,4
62,第九集,未知用户,1593087398070006512,都是有钱人，说过硬气点,11,0
63,第九集,未知用户,1592920299108001712,有钱人来了,11,2
64,第九集,未知用户,1593077690388008676,都是有钱人,11,0
65,第九集,未知用户,1593059861856005325,台风真及时啊,11,0
66,第九集,未知用户,1592982387201005004,有钱人这么多嘛,12,0
67,第九集,张东升 ,1593098095800002034,在座的各位有钱人幸会幸会,12,0
68,第九集,未知用户,1593052886385000104,没花钱的集合,12,3
69,第九集,未知用户,1592882660198008530,后面这几集时长也太。。。,12,3
70,第九集,未知用户,1592636585605008110,这集时长也不太行啊怎么回事,12,2
71,第九集,未知用户,1593003619307008548,怎么每集时长都不一样,12,0
72,第九集,未知用户,1592902315119003615,各位有钱人你们好,13,3
73,第九集,张东升 ,1592494450301002186,各位钻石用户晚上好,13,1
74,第九集,未知用户,1592969606832001086,现在有钱人都这么多了吗,13,2
75,第九集,未知用户,1593072520114002329,这个时长……,13,0
